num;w1eng;w2eng;w3eng;w2eng_i
1;carpenter;craftsman;peasant;pillar
2;mother;daughter;sister;gun
3;worker;tenant;foreman;bucket
4;trader;businessman;professor;computer
5;painter;musician;father;hut
6;saxophonist;trumpeter;conductor;baton
7;pharmacist;optician;stranger;button
8;cleaner;janitor;doctor;ball
9;dancer;singer;bystander;shoe
10;artist;sportsman;guard;computer
11;clerk;bureaucrat;visitor;cane
12;son;father;teacher;loudspeaker
13;conductor;choirmaster;worker;sponge
14;defence;prosecutor;spy;knife
15;cousin;brother;peasant;diamond
16;painter;musician;friend;film
